restaurant_id,restaurant_name,date,date_dt,year,month,day_of_week,is_weekend,is_holiday,holiday_name,covers,seasonality_factor,ingredient_id,ingredient_name,unit,unit_cost,inventory_start,qty_used,stockout_qty,inventory_end,on_order_qty,inventory_position,lead_time_days,avg_daily_usage_7d,avg_daily_usage_28d,avg_daily_usage_56d,projected_demand_leadtime,reorder_point,target_stock_level_S,restock_today_label,order_qty,num_menu_items_using,avg_qty_per_item,min_qty_per_item,max_qty_per_item,menu_items_list,units_sold_items_using_ing,revenue_items_using_ing,top_menu_item_by_ing_usage,top_menu_item_ing_qty_used,qty_in_grams,inventory_in_grams,inventory_start_grams,cost_per_gram,inventory_value,daily_cost,waste_cost,inventory_level
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I25,Potatoes,g,0.002,105610.002,4260.0,0.0,101350.002,0.0,101350.002,1,7910.0,7910.0,7910.0,7910.0,11584.536,106504.536,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,23,234.77,French Fries,3060.0,4260.0,101350.002,105610.002,0.002,202.70000399999998,8.52,0.0,101350.002
R001,Sample Bistro,2023-01-02,2023-01-02,2023,1,0,0,0,,157,0.8163859256315303,I44,Sirloin Steak,g,0.022,45202.284,1440.0,0.0,43762.284,0.0,43762.284,4,3120.0,3120.0,3120.0,12480.0,14766.23,42846.23,0,0.0,1,240.0,240.0,240.0,Steak Frites,6,149.94,Steak Frites,1440.0,1440.0,43762.284,45202.284,0.022,962.7702479999999,31.68,0.0,43762.284
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I01,Beef Patty,patty,1.9,303.787,14.0,0.0,289.787,0.0,289.787,4,29.667,29.667,29.667,118.667,150.52,476.854,0,0.0,1,1.0,1.0,1.0,Classic Burger,14,195.86,Classic Burger,14.0,2100.0,43468.049999999996,45568.049999999996,0.012666666666666666,550.5953,26.599999999999998,0.0,43468.049999999996
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I03,Brioche Bun,bun,0.45,551.351,41.0,0.0,510.351,0.0,510.351,3,62.333,62.333,62.333,187.0,228.035,976.035,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,41,533.09,Chicken Sandwich,27.0,2050.0,25517.55,27567.55,0.009000000000000001,229.65795000000003,18.450000000000003,0.0,25517.55
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I08,Pickles,g,0.006,9859.297,615.0,0.0,9244.297,0.0,9244.297,2,935.0,935.0,935.0,1870.0,2581.963,16606.963,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,41,533.09,Chicken Sandwich,405.0,615.0,9244.297,9859.297,0.006,55.465782000000004,3.69,0.0,9244.297
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I09,House Sauce,g,0.008,13107.122,685.0,0.0,12422.122,0.0,12422.122,4,1083.333,1083.333,1083.333,4333.333,5441.178,15191.178,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,41,533.09,Chicken Sandwich,405.0,685.0,12422.122,13107.122,0.008,99.376976,5.48,0.0,12422.122
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I15,Pizza Dough,dough,0.85,324.168,22.0,0.0,302.168,0.0,302.168,5,32.333,32.333,32.333,161.667,188.878,576.878,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,22,351.78,Margherita Pizza,22.0,6600.0,90650.40000000001,97250.40000000001,0.002833333333333333,256.8428,18.7,0.0,90650.40000000001
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I17,Mozzarella,g,0.013,36505.604,2420.0,0.0,34085.604,0.0,34085.604,3,3556.667,3556.667,3556.667,10670.0,12911.423,41364.756,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,22,351.78,Margherita Pizza,2420.0,2420.0,34085.604,36505.604,0.013,443.112852,31.459999999999997,0.0,34085.604
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I20,White Fish,g,0.02,25827.105,2640.0,0.0,23187.105,34231.262,57418.366,6,2960.0,2960.0,2960.0,17760.0,21240.635,47880.635,0,0.0,1,120.0,120.0,120.0,Fish Tacos (3),22,318.78,Fish Tacos (3),2640.0,2640.0,23187.105,25827.105,0.02,463.7421,52.800000000000004,0.0,23187.105
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I22,Cabbage,g,0.004,17674.705,1555.0,0.0,16119.705,0.0,16119.705,3,1803.333,1803.333,1803.333,5410.0,6973.715,23203.715,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),49,656.01,Fish Tacos (3),880.0,1555.0,16119.705,17674.705,0.004,64.47882,6.22,0.0,16119.705
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I25,Potatoes,g,0.002,101350.002,7080.0,0.0,94270.002,0.0,94270.002,1,7633.333,7633.333,7633.333,7633.333,11179.346,102779.346,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,38,429.62,French Fries,4680.0,7080.0,94270.002,101350.002,0.002,188.54000399999998,14.16,0.0,94270.002
R001,Sample Bistro,2023-01-03,2023-01-03,2023,1,1,0,0,,182,0.8171970592064369,I44,Sirloin Steak,g,0.022,43762.284,2880.0,0.0,40882.284,0.0,40882.284,4,3040.0,3040.0,3040.0,12160.0,14387.609,41747.609,0,0.0,1,240.0,240.0,240.0,Steak Frites,12,299.88,Steak Frites,2880.0,2880.0,40882.284,43762.284,0.022,899.4102479999999,63.36,0.0,40882.284
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I01,Beef Patty,patty,1.9,289.787,23.0,0.0,266.787,0.0,266.787,4,28.0,28.0,28.0,112.0,142.064,450.064,0,0.0,1,1.0,1.0,1.0,Classic Burger,23,321.77,Classic Burger,23.0,3450.0,40018.049999999996,43468.049999999996,0.012666666666666666,506.8952999999999,43.699999999999996,0.0,40018.049999999996
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I03,Brioche Bun,bun,0.45,510.351,48.0,0.0,462.351,0.0,462.351,3,58.75,58.75,58.75,176.25,214.926,919.926,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,48,634.02,Chicken Sandwich,25.0,2400.0,23117.55,25517.55,0.009000000000000001,208.05795,21.6,0.0,23117.55
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I08,Pickles,g,0.006,9244.297,720.0,0.0,8524.297,0.0,8524.297,2,881.25,881.25,881.25,1762.5,2433.534,15652.284,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,48,634.02,Chicken Sandwich,375.0,720.0,8524.297,9244.297,0.006,51.145782000000004,4.32,0.0,8524.297
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I09,House Sauce,g,0.008,12422.122,835.0,0.0,11587.122,0.0,11587.122,4,1021.25,1021.25,1021.25,4085.0,5129.357,14320.607,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,48,634.02,Classic Burger,460.0,835.0,11587.122,12422.122,0.008,92.69697599999999,6.68,0.0,11587.122
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I15,Pizza Dough,dough,0.85,302.168,24.0,0.0,278.168,0.0,278.168,5,30.25,30.25,30.25,151.25,176.708,539.708,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,24,383.76,Margherita Pizza,24.0,7200.0,83450.40000000001,90650.40000000001,0.002833333333333333,236.4428,20.4,0.0,83450.40000000001
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I17,Mozzarella,g,0.013,34085.604,2640.0,0.0,31445.604,0.0,31445.604,3,3327.5,3327.5,3327.5,9982.5,12079.501,38699.501,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,24,383.76,Margherita Pizza,2640.0,2640.0,31445.604,34085.604,0.013,408.792852,34.32,0.0,31445.604
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I20,White Fish,g,0.02,23187.105,2040.0,0.0,21147.105,34231.262,55378.366,6,2730.0,2730.0,2730.0,16380.0,19590.18,44160.18,0,0.0,1,120.0,120.0,120.0,Fish Tacos (3),17,246.33,Fish Tacos (3),2040.0,2040.0,21147.105,23187.105,0.02,422.9421,40.800000000000004,0.0,21147.105
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I22,Cabbage,g,0.004,16119.705,1305.0,0.0,14814.705,0.0,14814.705,3,1678.75,1678.75,1678.75,5036.25,6491.936,21600.686,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),42,558.58,Fish Tacos (3),680.0,1305.0,14814.705,16119.705,0.004,59.25882,5.22,0.0,14814.705
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I25,Potatoes,g,0.002,94270.002,11080.0,0.0,83190.002,0.0,83190.002,1,8495.0,8495.0,8495.0,8495.0,12441.294,114381.294,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,60,579.4,French Fries,8280.0,11080.0,83190.002,94270.002,0.002,166.38000399999999,22.16,0.0,83190.002
R001,Sample Bistro,2023-01-04,2023-01-04,2023,1,2,0,0,,185,0.8180389563540744,I44,Sirloin Steak,g,0.022,40882.284,3360.0,0.0,37522.284,0.0,37522.284,4,3120.0,3120.0,3120.0,12480.0,14766.23,42846.23,0,0.0,1,240.0,240.0,240.0,Steak Frites,14,349.86,Steak Frites,3360.0,3360.0,37522.284,40882.284,0.022,825.490248,73.92,0.0,37522.284
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I01,Beef Patty,patty,1.9,266.787,32.0,0.0,234.787,0.0,234.787,4,28.8,28.8,28.8,115.2,146.123,462.923,0,0.0,1,1.0,1.0,1.0,Classic Burger,32,447.68,Classic Burger,32.0,4800.0,35218.05,40018.049999999996,0.012666666666666666,446.0953,60.8,0.0,35218.05
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I03,Brioche Bun,bun,0.45,462.351,39.0,0.0,423.351,0.0,423.351,3,54.8,54.8,54.8,164.4,200.475,858.075,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,39,535.11,Classic Burger,32.0,1950.0,21167.55,23117.55,0.009000000000000001,190.50795000000002,17.55,0.0,21167.55
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I08,Pickles,g,0.006,8524.297,585.0,0.0,7939.297,0.0,7939.297,2,822.0,822.0,822.0,1644.0,2269.918,14599.918,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,39,535.11,Classic Burger,480.0,585.0,7939.297,8524.297,0.006,47.635782,3.5100000000000002,0.0,7939.297
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I09,House Sauce,g,0.008,11587.122,745.0,0.0,10842.122,0.0,10842.122,4,966.0,966.0,966.0,3864.0,4851.857,13545.857,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,39,535.11,Classic Burger,640.0,745.0,10842.122,11587.122,0.008,86.736976,5.96,0.0,10842.122
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I15,Pizza Dough,dough,0.85,278.168,13.0,0.0,265.168,0.0,265.168,5,26.8,26.8,26.8,134.0,156.554,478.154,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,13,207.87,Margherita Pizza,13.0,3900.0,79550.40000000001,83450.40000000001,0.002833333333333333,225.3928,11.049999999999999,0.0,79550.40000000001
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I17,Mozzarella,g,0.013,31445.604,1430.0,0.0,30015.604,0.0,30015.604,3,2948.0,2948.0,2948.0,8844.0,10701.839,34285.839,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,13,207.87,Margherita Pizza,1430.0,1430.0,30015.604,31445.604,0.013,390.20285199999995,18.59,0.0,30015.604
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I20,White Fish,g,0.02,21147.105,1800.0,0.0,19347.105,34231.262,53578.366,6,2544.0,2544.0,2544.0,15264.0,18255.465,41151.465,0,0.0,1,120.0,120.0,120.0,Fish Tacos (3),15,217.35,Fish Tacos (3),1800.0,1800.0,19347.105,21147.105,0.02,386.9421,36.0,0.0,19347.105
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I22,Cabbage,g,0.004,14814.705,775.0,0.0,14039.705,0.0,14039.705,3,1498.0,1498.0,1498.0,4494.0,5792.953,19274.953,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),22,304.78,Fish Tacos (3),600.0,775.0,14039.705,14814.705,0.004,56.15882,3.1,0.0,14039.705
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I25,Potatoes,g,0.002,83190.002,10000.0,0.0,73190.002,0.0,73190.002,1,8796.0,8796.0,8796.0,8796.0,12882.122,118434.122,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,55,374.45,French Fries,9000.0,10000.0,73190.002,83190.002,0.002,146.38000399999999,20.0,0.0,73190.002
R001,Sample Bistro,2023-01-05,2023-01-05,2023,1,3,0,0,,145,0.8189114278931496,I44,Sirloin Steak,g,0.022,37522.284,1200.0,0.0,36322.284,0.0,36322.284,4,2736.0,2736.0,2736.0,10944.0,12948.848,37572.848,0,0.0,1,240.0,240.0,240.0,Steak Frites,5,124.95,Steak Frites,1200.0,1200.0,36322.284,37522.284,0.022,799.090248,26.4,0.0,36322.284
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I01,Beef Patty,patty,1.9,234.787,20.0,0.0,214.787,0.0,214.787,4,27.333,27.333,27.333,109.333,138.682,439.348,0,0.0,1,1.0,1.0,1.0,Classic Burger,20,279.8,Classic Burger,20.0,3000.0,32218.05,35218.05,0.012666666666666666,408.0953,38.0,0.0,32218.05
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I03,Brioche Bun,bun,0.45,423.351,32.0,0.0,391.351,0.0,391.351,3,51.0,51.0,51.0,153.0,186.574,798.574,0,0.0,2,1.0,1.0,1.0,Chicken Sandwich | Classic Burger,32,429.68,Classic Burger,20.0,1600.0,19567.55,21167.55,0.009000000000000001,176.10795000000002,14.400000000000002,0.0,19567.55
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I08,Pickles,g,0.006,7939.297,480.0,0.0,7459.297,0.0,7459.297,2,765.0,765.0,765.0,1530.0,2112.515,13587.515,0,0.0,2,15.0,15.0,15.0,Chicken Sandwich | Classic Burger,32,429.68,Classic Burger,300.0,480.0,7459.297,7939.297,0.006,44.755781999999996,2.88,0.0,7459.297
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I09,House Sauce,g,0.008,10842.122,580.0,0.0,10262.122,0.0,10262.122,4,901.667,901.667,901.667,3606.667,4528.735,12643.735,0,0.0,2,17.5,15.0,20.0,Chicken Sandwich | Classic Burger,32,429.68,Classic Burger,400.0,580.0,10262.122,10842.122,0.008,82.096976,4.64,0.0,10262.122
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I15,Pizza Dough,dough,0.85,265.168,14.0,0.0,251.168,0.0,251.168,5,24.667,24.667,24.667,123.333,144.092,440.092,0,0.0,1,1.0,1.0,1.0,Margherita Pizza,14,223.86,Margherita Pizza,14.0,4200.0,75350.40000000001,79550.40000000001,0.002833333333333333,213.49280000000002,11.899999999999999,0.0,75350.40000000001
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I17,Mozzarella,g,0.013,30015.604,1540.0,0.0,28475.604,0.0,28475.604,3,2713.333,2713.333,2713.333,8140.0,9849.952,31556.618,0,0.0,1,110.0,110.0,110.0,Margherita Pizza,14,223.86,Margherita Pizza,1540.0,1540.0,28475.604,30015.604,0.013,370.18285199999997,20.02,0.0,28475.604
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I20,White Fish,g,0.02,19347.105,1560.0,0.0,17787.105,34231.262,52018.366,6,2380.0,2380.0,2380.0,14280.0,17078.619,38498.619,0,0.0,1,120.0,120.0,120.0,Fish Tacos (3),13,188.37,Fish Tacos (3),1560.0,1560.0,17787.105,19347.105,0.02,355.7421,31.2,0.0,17787.105
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I22,Cabbage,g,0.004,14039.705,820.0,0.0,13219.705,0.0,13219.705,3,1385.0,1385.0,1385.0,4155.0,5355.968,17820.968,0,0.0,2,32.5,25.0,40.0,Chicken Sandwich | Fish Tacos (3),25,338.25,Fish Tacos (3),520.0,820.0,13219.705,14039.705,0.004,52.87882,3.2800000000000002,0.0,13219.705
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I25,Potatoes,g,0.002,73190.002,7620.0,0.0,65570.002,0.0,65570.002,1,8600.0,8600.0,8600.0,8600.0,12595.071,115795.071,0,0.0,2,190.0,180.0,200.0,French Fries | Steak Frites,41,444.59,French Fries,5220.0,7620.0,65570.002,73190.002,0.002,131.14000399999998,15.24,0.0,65570.002
R001,Sample Bistro,2023-01-06,2023-01-06,2023,1,4,0,0,,154,0.8198142755193178,I44,Sirloin Steak,g,0.022,36322.284,2880.0,0.0,33442.284,0.0,33442.284,4,2760.0,2760.0,2760.0,11040.0,13062.434,37902.434,0,0.0,1,240.0,240.0,240.0,Steak Frites,12,299.88,Steak Frites,2880.0,2880.0,33442.284,36322.284,0.022,735.730248,63.36,0.0,33442.284
R001,Sample Bistro,2023-01-07,2023-01-07,2023,1,5,1,0,,235,0.8207472918606487,I01,Beef Patty,patty,1.9,214.787,39.0,0.0,175.787,0.0,175.787,4,29.0,29.0,29.0,116.0,147.138,466.138,0,0.0,1,1.0,1.0,1.0,Classic Burger,39,545.61,Classic Burger,39.0,5850.0,26368.05,32218.05,0.012666666666666666,333.9953,74.1,0.0,26368.05
